"year","country","conditionality","conditions","sanctions","occup","wage","oth","jsr","vol","ref","rep","fail"
1994,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
1995,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
1996,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
1997,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
1998,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
1999,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
2000,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
2001,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
2002,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
2003,"Belgium",0.5,0.38,0.67,0.5,0.333333333333333,0.5,0.166666666666667,0.833333333333333,0.833333333333333,1,0
2004,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2005,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2006,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2007,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2008,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2009,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2010,"Belgium",0.53,0.42,0.67,0.5,0.333333333333333,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2011,"Belgium",NA,NA,0.67,0.666666666666667,NA,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
2012,"Belgium",NA,NA,0.67,0.666666666666667,NA,0.5,0.333333333333333,0.833333333333333,0.833333333333333,1,0
1980,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1981,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1982,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1983,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1984,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1985,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1986,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1987,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1988,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1989,"Canada",0.25,0.25,0.25,0.166666666666667,0,0.833333333333333,0,0.333333333333333,0.5,0.166666666666667,0
1990,"Canada",0.31,0.25,0.38,0.166666666666667,0,0.833333333333333,0,0.666666666666667,0.666666666666667,0.166666666666667,0
1991,"Canada",0.31,0.25,0.38,0.166666666666667,0,0.833333333333333,0,0.666666666666667,0.666666666666667,0.166666666666667,0
1992,"Canada",0.31,0.25,0.38,0.166666666666667,0,0.833333333333333,0,0.666666666666667,0.666666666666667,0.166666666666667,0
1993,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
1994,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
1995,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
1996,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
1997,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
1998,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
1999,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2000,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2001,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2002,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2003,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2004,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2005,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2006,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2007,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2008,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2009,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2010,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2011,"Canada",0.34,0.25,0.46,0.166666666666667,0,0.833333333333333,0,1,0.666666666666667,0.166666666666667,0
2012,"Canada",0.39,0.33,0.46,0.5,0,0.666666666666667,0.166666666666667,1,0.666666666666667,0.166666666666667,0
1980,"Denmark",NA,NA,NA,0,NA,0,NA,NA,0.333333333333333,0.833333333333333,0
1981,"Denmark",NA,NA,NA,0,NA,0,NA,NA,0.333333333333333,0.833333333333333,0
1982,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
1983,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
1984,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
1985,"Denmark",0.33,0.38,0.29,0,0.833333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.5,0
